,session,model_args,model_stats
23,24,"{'train_type': 'c', 'input_file': 'data/iris.csv', 'project_folder': 'output/iris_project', 'target_col': 'Name', 'scaler': 'StandardScaler', 'test': 'True', 'auto_tune': 'False', 'save_test_chart': 'True', 'save_test_csv': 'False', 'save_metadata': 'True', 'mapping': ""{'Name': {'Iris-setosa':0, 'Iris-versicolor':1, 'Iris-virginica':2}}"", 'save_auto_tune': 'True', 'auto_tune_iter': '1000', 'train_cols': None, 'num_of_class': '3', 'ignore_cols': None, 'random_state': 'None', 'model_type': 'RF', 'num_of_features': 10, 'num_of_folds': 5, 'hyperparameter_file': None, 'feature_selection': None, 'feature_selection_file': None, 'save_corr_report': 'False', 'save_corr_chart': 'False', 'only_pcc': 'False', 'net_fast_tune': 'False', 'net_layer_n': 'Tune', 'net_structure': 'Tune', 'net_dropout': 'Tune', 'net_l_2': 'Tune', 'net_learning_rate': 'Tune', 'net_epochs': 'Tune', 'net_batch_size': 'Tune', 'net_neuron_max': -1, 'net_batch_size_max': 5, 'net_layer_min': 3, 'net_layer_max': 5, 'net_dropout_max': 0.2, 'net_default_neuron_max': 32, 'net_checkpoint': 'True'}","{'MAE': None, 'R2': None, 'Accuracy': 0.94}"
24,25,"{'train_type': 'c', 'input_file': 'data/iris.csv', 'project_folder': 'output/iris_project', 'target_col': 'Name', 'scaler': 'StandardScaler', 'test': 'True', 'auto_tune': 'False', 'save_test_chart': 'True', 'save_test_csv': 'False', 'save_metadata': 'True', 'mapping': ""{'Name': {'Iris-setosa':0, 'Iris-versicolor':1, 'Iris-virginica':2}}"", 'save_auto_tune': 'True', 'auto_tune_iter': '1000', 'train_cols': None, 'num_of_class': '3', 'ignore_cols': None, 'random_state': 'None', 'model_type': 'RF', 'num_of_features': 10, 'num_of_folds': 5, 'hyperparameter_file': None, 'feature_selection': None, 'feature_selection_file': None, 'save_corr_report': 'False', 'save_corr_chart': 'False', 'only_pcc': 'False', 'net_fast_tune': 'False', 'net_layer_n': 'Tune', 'net_structure': 'Tune', 'net_dropout': 'Tune', 'net_l_2': 'Tune', 'net_learning_rate': 'Tune', 'net_epochs': 'Tune', 'net_batch_size': 'Tune', 'net_neuron_max': -1, 'net_batch_size_max': 5, 'net_layer_min': 3, 'net_layer_max': 5, 'net_dropout_max': 0.2, 'net_default_neuron_max': 32, 'net_checkpoint': 'True'}","{'MAE': None, 'R2': None, 'Accuracy': 0.9533333333333334}"
25,26,"{'train_type': 'c', 'input_file': 'data/iris.csv', 'project_folder': 'output/iris_project', 'target_col': 'Name', 'scaler': 'StandardScaler', 'test': 'True', 'auto_tune': 'False', 'save_test_chart': 'True', 'save_test_csv': 'False', 'save_metadata': 'True', 'mapping': ""{'Name': {'Iris-setosa':0, 'Iris-versicolor':1, 'Iris-virginica':2}}"", 'save_auto_tune': 'True', 'auto_tune_iter': '1000', 'train_cols': None, 'num_of_class': '3', 'ignore_cols': None, 'random_state': 'None', 'model_type': 'RF', 'num_of_features': 10, 'num_of_folds': 5, 'hyperparameter_file': None, 'feature_selection': None, 'feature_selection_file': None, 'save_corr_report': 'False', 'save_corr_chart': 'False', 'only_pcc': 'False', 'net_fast_tune': 'False', 'net_layer_n': 'Tune', 'net_structure': 'Tune', 'net_dropout': 'Tune', 'net_l_2': 'Tune', 'net_learning_rate': 'Tune', 'net_epochs': 'Tune', 'net_batch_size': 'Tune', 'net_neuron_max': -1, 'net_batch_size_max': 5, 'net_layer_min': 3, 'net_layer_max': 5, 'net_dropout_max': 0.2, 'net_default_neuron_max': 32, 'net_checkpoint': 'True'}","{'MAE': None, 'R2': None, 'Accuracy': 0.9533333333333334}"
26,27,"{'train_type': 'c', 'input_file': 'data/iris.csv', 'project_folder': 'output/iris_project', 'target_col': 'Name', 'scaler': 'StandardScaler', 'test': 'True', 'auto_tune': 'False', 'save_test_chart': 'True', 'save_test_csv': 'False', 'save_metadata': 'True', 'mapping': ""{'Name': {'Iris-setosa':0, 'Iris-versicolor':1, 'Iris-virginica':2}}"", 'save_auto_tune': 'True', 'auto_tune_iter': '1000', 'train_cols': None, 'num_of_class': '3', 'ignore_cols': None, 'random_state': 'None', 'model_type': 'RF', 'num_of_features': 10, 'num_of_folds': 5, 'hyperparameter_file': None, 'feature_selection': None, 'feature_selection_file': None, 'save_corr_report': 'False', 'save_corr_chart': 'False', 'only_pcc': 'False', 'net_fast_tune': 'False', 'net_layer_n': 'Tune', 'net_structure': 'Tune', 'net_dropout': 'Tune', 'net_l_2': 'Tune', 'net_learning_rate': 'Tune', 'net_epochs': 'Tune', 'net_batch_size': 'Tune', 'net_neuron_max': -1, 'net_batch_size_max': 5, 'net_layer_min': 3, 'net_layer_max': 5, 'net_dropout_max': 0.2, 'net_default_neuron_max': 32, 'net_checkpoint': 'True'}","{'MAE': None, 'R2': None, 'Accuracy': 0.9666666666666667}"
27,28,"{'train_type': 'c', 'input_file': 'data/iris.csv', 'project_folder': 'output/iris_project', 'target_col': 'Name', 'scaler': 'StandardScaler', 'test': 'True', 'auto_tune': 'False', 'save_test_chart': 'True', 'save_test_csv': 'False', 'save_metadata': 'True', 'mapping': ""{'Name': {'Iris-setosa':0, 'Iris-versicolor':1, 'Iris-virginica':2}}"", 'save_auto_tune': 'True', 'auto_tune_iter': '1000', 'train_cols': None, 'num_of_class': '3', 'ignore_cols': None, 'random_state': 'None', 'model_type': 'RF', 'num_of_features': 10, 'num_of_folds': 5, 'hyperparameter_file': None, 'feature_selection': None, 'feature_selection_file': None, 'save_corr_report': 'False', 'save_corr_chart': 'False', 'only_pcc': 'False', 'net_fast_tune': 'False', 'net_layer_n': 'Tune', 'net_structure': 'Tune', 'net_dropout': 'Tune', 'net_l_2': 'Tune', 'net_learning_rate': 'Tune', 'net_epochs': 'Tune', 'net_batch_size': 'Tune', 'net_neuron_max': -1, 'net_batch_size_max': 5, 'net_layer_min': 3, 'net_layer_max': 5, 'net_dropout_max': 0.2, 'net_default_neuron_max': 32, 'net_checkpoint': 'True'}","{'MAE': None, 'R2': None, 'Accuracy': 0.9533333333333334}"
28,29,"{'train_type': 'c', 'input_file': 'data/iris.csv', 'project_folder': 'output/iris_project', 'target_col': 'Name', 'scaler': 'StandardScaler', 'test': 'True', 'auto_tune': 'False', 'save_test_chart': 'True', 'save_test_csv': 'False', 'save_metadata': 'True', 'mapping': ""{'Name': {'Iris-setosa':0, 'Iris-versicolor':1, 'Iris-virginica':2}}"", 'save_auto_tune': 'True', 'auto_tune_iter': '1000', 'train_cols': None, 'num_of_class': '3', 'ignore_cols': None, 'random_state': 'None', 'model_type': 'RF', 'num_of_features': 10, 'num_of_folds': 5, 'hyperparameter_file': None, 'feature_selection': None, 'feature_selection_file': None, 'save_corr_report': 'False', 'save_corr_chart': 'False', 'only_pcc': 'False', 'net_fast_tune': 'False', 'net_layer_n': 'Tune', 'net_structure': 'Tune', 'net_dropout': 'Tune', 'net_l_2': 'Tune', 'net_learning_rate': 'Tune', 'net_epochs': 'Tune', 'net_batch_size': 'Tune', 'net_neuron_max': -1, 'net_batch_size_max': 5, 'net_layer_min': 3, 'net_layer_max': 5, 'net_dropout_max': 0.2, 'net_default_neuron_max': 32, 'net_checkpoint': 'True'}","{'MAE': None, 'R2': None, 'Accuracy': 0.9666666666666667}"
29,30,"{'train_type': 'c', 'input_file': 'data/iris.csv', 'project_folder': 'output/iris_project', 'target_col': 'Name', 'scaler': 'StandardScaler', 'test': 'True', 'auto_tune': 'False', 'save_test_chart': 'True', 'save_test_csv': 'False', 'save_metadata': 'True', 'mapping': ""{'Name': {'Iris-setosa':0, 'Iris-versicolor':1, 'Iris-virginica':2}}"", 'save_auto_tune': 'True', 'auto_tune_iter': '1000', 'train_cols': None, 'num_of_class': '3', 'ignore_cols': None, 'random_state': 'None', 'model_type': 'RF', 'num_of_features': 10, 'num_of_folds': 5, 'hyperparameter_file': None, 'feature_selection': None, 'feature_selection_file': None, 'save_corr_report': 'False', 'save_corr_chart': 'False', 'only_pcc': 'False', 'net_fast_tune': 'False', 'net_layer_n': 'Tune', 'net_structure': 'Tune', 'net_dropout': 'Tune', 'net_l_2': 'Tune', 'net_learning_rate': 'Tune', 'net_epochs': 'Tune', 'net_batch_size': 'Tune', 'net_neuron_max': -1, 'net_batch_size_max': 5, 'net_layer_min': 3, 'net_layer_max': 5, 'net_dropout_max': 0.2, 'net_default_neuron_max': 32, 'net_checkpoint': 'True'}","{'MAE': None, 'R2': None, 'Accuracy': 0.9466666666666667}"
30,31,"{'train_type': 'c', 'input_file': 'data/iris.csv', 'project_folder': 'output/iris_project', 'target_col': 'Name', 'scaler': 'StandardScaler', 'test': 'True', 'auto_tune': 'False', 'save_test_chart': 'True', 'save_test_csv': 'False', 'save_metadata': 'True', 'mapping': ""{'Name': {'Iris-setosa':0, 'Iris-versicolor':1, 'Iris-virginica':2}}"", 'save_auto_tune': 'True', 'auto_tune_iter': '1000', 'train_cols': None, 'num_of_class': '3', 'ignore_cols': None, 'random_state': 'None', 'model_type': 'RF', 'num_of_features': 10, 'num_of_folds': 5, 'hyperparameter_file': None, 'feature_selection': None, 'feature_selection_file': None, 'save_corr_report': 'False', 'save_corr_chart': 'False', 'only_pcc': 'False', 'net_fast_tune': 'False', 'net_layer_n': 'Tune', 'net_structure': 'Tune', 'net_dropout': 'Tune', 'net_l_2': 'Tune', 'net_learning_rate': 'Tune', 'net_epochs': 'Tune', 'net_batch_size': 'Tune', 'net_neuron_max': -1, 'net_batch_size_max': 5, 'net_layer_min': 3, 'net_layer_max': 5, 'net_dropout_max': 0.2, 'net_default_neuron_max': 32, 'net_checkpoint': 'True'}","{'MAE': None, 'R2': None, 'Accuracy': 0.9533333333333334}"
31,32,"{'train_type': 'c', 'input_file': 'data/iris.csv', 'project_folder': 'output/iris_project', 'target_col': 'Name', 'scaler': 'StandardScaler', 'test': 'True', 'auto_tune': 'False', 'save_test_chart': 'True', 'save_test_csv': 'False', 'save_metadata': 'True', 'mapping': ""{'Name': {'Iris-setosa':0, 'Iris-versicolor':1, 'Iris-virginica':2}}"", 'save_auto_tune': 'True', 'auto_tune_iter': '1000', 'train_cols': None, 'num_of_class': '3', 'ignore_cols': None, 'random_state': 'None', 'model_type': 'RF', 'num_of_features': 10, 'num_of_folds': 5, 'hyperparameter_file': None, 'feature_selection': None, 'feature_selection_file': None, 'save_corr_report': 'False', 'save_corr_chart': 'False', 'only_pcc': 'False', 'net_fast_tune': 'False', 'net_layer_n': 'Tune', 'net_structure': 'Tune', 'net_dropout': 'Tune', 'net_l_2': 'Tune', 'net_learning_rate': 'Tune', 'net_epochs': 'Tune', 'net_batch_size': 'Tune', 'net_neuron_max': -1, 'net_batch_size_max': 5, 'net_layer_min': 3, 'net_layer_max': 5, 'net_dropout_max': 0.2, 'net_default_neuron_max': 32, 'net_checkpoint': 'True'}","{'MAE': None, 'R2': None, 'Accuracy': 0.9533333333333334}"
32,33,"{'train_type': 'c', 'input_file': 'data/iris.csv', 'project_folder': 'output/iris_project', 'target_col': 'Name', 'scaler': 'StandardScaler', 'test': 'True', 'auto_tune': 'False', 'save_test_chart': 'True', 'save_test_csv': 'False', 'save_metadata': 'True', 'mapping': ""{'Name': {'Iris-setosa':0, 'Iris-versicolor':1, 'Iris-virginica':2}}"", 'save_auto_tune': 'True', 'auto_tune_iter': '1000', 'train_cols': None, 'num_of_class': '3', 'ignore_cols': None, 'random_state': 'None', 'model_type': 'RF', 'num_of_features': 10, 'num_of_folds': 5, 'hyperparameter_file': None, 'feature_selection': None, 'feature_selection_file': None, 'save_corr_report': 'False', 'save_corr_chart': 'False', 'only_pcc': 'False', 'net_fast_tune': 'False', 'net_layer_n': 'Tune', 'net_structure': 'Tune', 'net_dropout': 'Tune', 'net_l_2': 'Tune', 'net_learning_rate': 'Tune', 'net_epochs': 'Tune', 'net_batch_size': 'Tune', 'net_neuron_max': -1, 'net_batch_size_max': 5, 'net_layer_min': 3, 'net_layer_max': 5, 'net_dropout_max': 0.2, 'net_default_neuron_max': 32, 'net_checkpoint': 'True'}","{'MAE': None, 'R2': None, 'Accuracy': 0.9466666666666667}"
33,34,"{'train_type': 'c', 'input_file': 'data/iris.csv', 'project_folder': 'output/iris_project', 'target_col': 'Name', 'scaler': 'StandardScaler', 'test': 'True', 'auto_tune': 'False', 'save_test_chart': 'True', 'save_test_csv': 'False', 'save_metadata': 'True', 'mapping': ""{'Name': {'Iris-setosa':0, 'Iris-versicolor':1, 'Iris-virginica':2}}"", 'save_auto_tune': 'True', 'auto_tune_iter': '1000', 'train_cols': None, 'num_of_class': '3', 'ignore_cols': None, 'random_state': 'None', 'model_type': 'RF', 'num_of_features': 10, 'num_of_folds': 5, 'hyperparameter_file': None, 'feature_selection': None, 'feature_selection_file': None, 'save_corr_report': 'False', 'save_corr_chart': 'False', 'only_pcc': 'False', 'net_fast_tune': 'False', 'net_layer_n': 'Tune', 'net_structure': 'Tune', 'net_dropout': 'Tune', 'net_l_2': 'Tune', 'net_learning_rate': 'Tune', 'net_epochs': 'Tune', 'net_batch_size': 'Tune', 'net_neuron_max': -1, 'net_batch_size_max': 5, 'net_layer_min': 3, 'net_layer_max': 5, 'net_dropout_max': 0.2, 'net_default_neuron_max': 32, 'net_checkpoint': 'True'}","{'MAE': None, 'R2': None, 'Accuracy': 0.34}"
34,35,"{'train_type': 'c', 'input_file': 'data/iris.csv', 'project_folder': 'output/iris_project', 'target_col': 'Name', 'scaler': 'StandardScaler', 'test': 'True', 'auto_tune': 'False', 'save_test_chart': 'True', 'save_test_csv': 'False', 'save_metadata': 'True', 'mapping': ""{'Name': {'Iris-setosa':0, 'Iris-versicolor':1, 'Iris-virginica':2}}"", 'save_auto_tune': 'True', 'auto_tune_iter': '1000', 'train_cols': None, 'num_of_class': '3', 'ignore_cols': None, 'random_state': 'None', 'model_type': 'RF', 'num_of_features': 10, 'num_of_folds': 5, 'hyperparameter_file': None, 'feature_selection': None, 'feature_selection_file': None, 'save_corr_report': 'False', 'save_corr_chart': 'False', 'only_pcc': 'False', 'net_fast_tune': 'False', 'net_layer_n': 'Tune', 'net_structure': 'Tune', 'net_dropout': 'Tune', 'net_l_2': 'Tune', 'net_learning_rate': 'Tune', 'net_epochs': 'Tune', 'net_batch_size': 'Tune', 'net_neuron_max': -1, 'net_batch_size_max': 5, 'net_layer_min': 3, 'net_layer_max': 5, 'net_dropout_max': 0.2, 'net_default_neuron_max': 32, 'net_checkpoint': 'True'}","{'MAE': None, 'R2': None, 'Accuracy': 0.28}"
35,36,"{'train_type': 'c', 'input_file': 'data/iris.csv', 'project_folder': 'output/iris_project', 'target_col': 'Name', 'scaler': 'StandardScaler', 'test': 'True', 'auto_tune': 'False', 'save_test_chart': 'True', 'save_test_csv': 'False', 'save_metadata': 'True', 'mapping': ""{'Name': {'Iris-setosa':0, 'Iris-versicolor':1, 'Iris-virginica':2}}"", 'save_auto_tune': 'True', 'auto_tune_iter': '1000', 'train_cols': None, 'num_of_class': '3', 'ignore_cols': None, 'random_state': 'None', 'model_type': 'RF', 'num_of_features': 10, 'num_of_folds': 5, 'hyperparameter_file': None, 'feature_selection': None, 'feature_selection_file': None, 'save_corr_report': 'False', 'save_corr_chart': 'False', 'only_pcc': 'False', 'net_fast_tune': 'False', 'net_layer_n': 'Tune', 'net_structure': 'Tune', 'net_dropout': 'Tune', 'net_l_2': 'Tune', 'net_learning_rate': 'Tune', 'net_epochs': 'Tune', 'net_batch_size': 'Tune', 'net_neuron_max': -1, 'net_batch_size_max': 5, 'net_layer_min': 3, 'net_layer_max': 5, 'net_dropout_max': 0.2, 'net_default_neuron_max': 32, 'net_checkpoint': 'True'}","{'MAE': None, 'R2': None, 'Accuracy': 0.32}"
36,37,"{'train_type': 'c', 'input_file': 'data/iris.csv', 'project_folder': 'output/iris_project', 'target_col': 'Name', 'scaler': 'StandardScaler', 'test': 'True', 'auto_tune': 'False', 'save_test_chart': 'True', 'save_test_csv': 'False', 'save_metadata': 'True', 'mapping': ""{'Name': {'Iris-setosa':0, 'Iris-versicolor':1, 'Iris-virginica':2}}"", 'save_auto_tune': 'True', 'auto_tune_iter': '1000', 'train_cols': None, 'num_of_class': '3', 'ignore_cols': None, 'random_state': 'None', 'model_type': 'RF', 'num_of_features': 10, 'num_of_folds': 5, 'hyperparameter_file': None, 'feature_selection': None, 'feature_selection_file': None, 'save_corr_report': 'False', 'save_corr_chart': 'False', 'only_pcc': 'False', 'net_fast_tune': 'False', 'net_layer_n': 'Tune', 'net_structure': 'Tune', 'net_dropout': 'Tune', 'net_l_2': 'Tune', 'net_learning_rate': 'Tune', 'net_epochs': 'Tune', 'net_batch_size': 'Tune', 'net_neuron_max': -1, 'net_batch_size_max': 5, 'net_layer_min': 3, 'net_layer_max': 5, 'net_dropout_max': 0.2, 'net_default_neuron_max': 32, 'net_checkpoint': 'True'}","{'MAE': None, 'R2': None, 'Accuracy': 0.9533333333333334}"
37,38,"{'train_type': 'c', 'input_file': 'data/iris.csv', 'project_folder': 'output/iris_project', 'target_col': 'Name', 'scaler': 'StandardScaler', 'test': 'True', 'auto_tune': 'False', 'save_test_chart': 'True', 'save_test_csv': 'False', 'save_metadata': 'True', 'mapping': ""{'Name': {'Iris-setosa':0, 'Iris-versicolor':1, 'Iris-virginica':2}}"", 'save_auto_tune': 'True', 'auto_tune_iter': '1000', 'train_cols': None, 'num_of_class': '3', 'ignore_cols': None, 'random_state': 'None', 'model_type': 'RF', 'num_of_features': 10, 'num_of_folds': 5, 'hyperparameter_file': None, 'feature_selection': None, 'feature_selection_file': None, 'save_corr_report': 'False', 'save_corr_chart': 'False', 'only_pcc': 'False', 'net_fast_tune': 'False', 'net_layer_n': 'Tune', 'net_structure': 'Tune', 'net_dropout': 'Tune', 'net_l_2': 'Tune', 'net_learning_rate': 'Tune', 'net_epochs': 'Tune', 'net_batch_size': 'Tune', 'net_neuron_max': -1, 'net_batch_size_max': 5, 'net_layer_min': 3, 'net_layer_max': 5, 'net_dropout_max': 0.2, 'net_default_neuron_max': 32, 'net_checkpoint': 'True'}","{'MAE': None, 'R2': None, 'Accuracy': 0.32}"
38,39,"{'train_type': 'c', 'input_file': 'data/iris.csv', 'project_folder': 'output/iris_project', 'target_col': 'Name', 'scaler': 'StandardScaler', 'test': 'True', 'auto_tune': 'False', 'save_test_chart': 'True', 'save_test_csv': 'False', 'save_metadata': 'True', 'mapping': ""{'Name': {'Iris-setosa':0, 'Iris-versicolor':1, 'Iris-virginica':2}}"", 'save_auto_tune': 'True', 'auto_tune_iter': '1000', 'train_cols': None, 'num_of_class': '3', 'ignore_cols': None, 'random_state': 'None', 'model_type': 'RF', 'num_of_features': 10, 'num_of_folds': 5, 'hyperparameter_file': None, 'feature_selection': None, 'feature_selection_file': None, 'save_corr_report': 'False', 'save_corr_chart': 'False', 'only_pcc': 'False', 'net_fast_tune': 'False', 'net_layer_n': 'Tune', 'net_structure': 'Tune', 'net_dropout': 'Tune', 'net_l_2': 'Tune', 'net_learning_rate': 'Tune', 'net_epochs': 'Tune', 'net_batch_size': 'Tune', 'net_neuron_max': -1, 'net_batch_size_max': 5, 'net_layer_min': 3, 'net_layer_max': 5, 'net_dropout_max': 0.2, 'net_default_neuron_max': 32, 'net_checkpoint': 'True'}","{'MAE': None, 'R2': None, 'Accuracy': 0.37333333333333335}"
39,40,"{'train_type': 'c', 'input_file': 'data/iris.csv', 'project_folder': 'output/iris_project', 'target_col': 'Name', 'scaler': 'StandardScaler', 'test': 'True', 'auto_tune': 'False', 'save_test_chart': 'True', 'save_test_csv': 'False', 'save_metadata': 'True', 'mapping': ""{'Name': {'Iris-setosa':0, 'Iris-versicolor':1, 'Iris-virginica':2}}"", 'save_auto_tune': 'True', 'auto_tune_iter': '1000', 'train_cols': None, 'num_of_class': '3', 'ignore_cols': None, 'random_state': 'None', 'model_type': 'RF', 'num_of_features': 10, 'num_of_folds': 5, 'hyperparameter_file': None, 'feature_selection': None, 'feature_selection_file': None, 'save_corr_report': 'False', 'save_corr_chart': 'False', 'only_pcc': 'False', 'net_fast_tune': 'False', 'net_layer_n': 'Tune', 'net_structure': 'Tune', 'net_dropout': 'Tune', 'net_l_2': 'Tune', 'net_learning_rate': 'Tune', 'net_epochs': 'Tune', 'net_batch_size': 'Tune', 'net_neuron_max': -1, 'net_batch_size_max': 5, 'net_layer_min': 3, 'net_layer_max': 5, 'net_dropout_max': 0.2, 'net_default_neuron_max': 32, 'net_checkpoint': 'True'}","{'MAE': None, 'R2': None, 'Accuracy': 0.96}"
40,41,"{'train_type': 'c', 'input_file': 'data/iris.csv', 'project_folder': 'output/iris_project', 'target_col': 'Name', 'scaler': 'StandardScaler', 'test': 'True', 'auto_tune': 'False', 'save_test_chart': 'True', 'save_test_csv': 'False', 'save_metadata': 'True', 'mapping': ""{'Name': {'Iris-setosa':0, 'Iris-versicolor':1, 'Iris-virginica':2}}"", 'save_auto_tune': 'True', 'auto_tune_iter': '1000', 'train_cols': None, 'num_of_class': '3', 'ignore_cols': None, 'random_state': 'None', 'model_type': 'RF', 'num_of_features': 10, 'num_of_folds': 5, 'hyperparameter_file': None, 'feature_selection': None, 'feature_selection_file': None, 'save_corr_report': 'False', 'save_corr_chart': 'False', 'only_pcc': 'False', 'net_fast_tune': 'False', 'net_layer_n': 'Tune', 'net_structure': 'Tune', 'net_dropout': 'Tune', 'net_l_2': 'Tune', 'net_learning_rate': 'Tune', 'net_epochs': 'Tune', 'net_batch_size': 'Tune', 'net_neuron_max': -1, 'net_batch_size_max': 5, 'net_layer_min': 3, 'net_layer_max': 5, 'net_dropout_max': 0.2, 'net_default_neuron_max': 32, 'net_checkpoint': 'True'}","{'MAE': None, 'R2': None, 'Accuracy': 0.96}"
41,42,"{'train_type': 'c', 'input_file': 'data/iris.csv', 'project_folder': 'output/iris_project', 'target_col': 'Name', 'scaler': 'StandardScaler', 'test': 'True', 'auto_tune': 'False', 'save_test_chart': 'True', 'save_test_csv': 'False', 'save_metadata': 'True', 'mapping': ""{'Name': {'Iris-setosa':0, 'Iris-versicolor':1, 'Iris-virginica':2}}"", 'save_auto_tune': 'True', 'auto_tune_iter': '1000', 'train_cols': None, 'num_of_class': '3', 'ignore_cols': None, 'random_state': 'None', 'model_type': 'RF', 'num_of_features': 10, 'num_of_folds': 5, 'hyperparameter_file': None, 'feature_selection': None, 'feature_selection_file': None, 'save_corr_report': 'False', 'save_corr_chart': 'False', 'only_pcc': 'False', 'net_fast_tune': 'False', 'net_layer_n': 'Tune', 'net_structure': 'Tune', 'net_dropout': 'Tune', 'net_l_2': 'Tune', 'net_learning_rate': 'Tune', 'net_epochs': 'Tune', 'net_batch_size': 'Tune', 'net_neuron_max': -1, 'net_batch_size_max': 5, 'net_layer_min': 3, 'net_layer_max': 5, 'net_dropout_max': 0.2, 'net_default_neuron_max': 32, 'net_checkpoint': 'True'}","{'MAE': None, 'R2': None, 'Accuracy': 0.37333333333333335}"
42,43,"{'train_type': 'c', 'input_file': 'data/iris.csv', 'project_folder': 'output/iris_project', 'target_col': 'Name', 'scaler': 'StandardScaler', 'test': 'True', 'auto_tune': 'False', 'save_test_chart': 'True', 'save_test_csv': 'False', 'save_metadata': 'True', 'mapping': ""{'Name': {'Iris-setosa':0, 'Iris-versicolor':1, 'Iris-virginica':2}}"", 'save_auto_tune': 'True', 'auto_tune_iter': '1000', 'train_cols': None, 'num_of_class': '3', 'ignore_cols': None, 'random_state': 'None', 'model_type': 'RF', 'num_of_features': 10, 'num_of_folds': 5, 'hyperparameter_file': None, 'feature_selection': None, 'feature_selection_file': None, 'save_corr_report': 'False', 'save_corr_chart': 'False', 'only_pcc': 'False', 'net_fast_tune': 'False', 'net_layer_n': 'Tune', 'net_structure': 'Tune', 'net_dropout': 'Tune', 'net_l_2': 'Tune', 'net_learning_rate': 'Tune', 'net_epochs': 'Tune', 'net_batch_size': 'Tune', 'net_neuron_max': -1, 'net_batch_size_max': 5, 'net_layer_min': 3, 'net_layer_max': 5, 'net_dropout_max': 0.2, 'net_default_neuron_max': 32, 'net_checkpoint': 'True'}","{'MAE': None, 'R2': None, 'Accuracy': 0.35333333333333333}"
43,44,"{'train_type': 'c', 'input_file': 'data/iris.csv', 'project_folder': 'output/iris_project', 'target_col': 'Name', 'scaler': 'StandardScaler', 'test': 'True', 'auto_tune': 'False', 'save_test_chart': 'True', 'save_test_csv': 'False', 'save_metadata': 'True', 'mapping': ""{'Name': {'Iris-setosa':0, 'Iris-versicolor':1, 'Iris-virginica':2}}"", 'save_auto_tune': 'True', 'auto_tune_iter': '1000', 'train_cols': None, 'num_of_class': '3', 'ignore_cols': None, 'random_state': 'None', 'model_type': 'RF', 'num_of_features': 10, 'num_of_folds': 5, 'hyperparameter_file': None, 'feature_selection': None, 'feature_selection_file': None, 'save_corr_report': 'False', 'save_corr_chart': 'False', 'only_pcc': 'False', 'net_fast_tune': 'False', 'net_layer_n': 'Tune', 'net_structure': 'Tune', 'net_dropout': 'Tune', 'net_l_2': 'Tune', 'net_learning_rate': 'Tune', 'net_epochs': 'Tune', 'net_batch_size': 'Tune', 'net_neuron_max': -1, 'net_batch_size_max': 5, 'net_layer_min': 3, 'net_layer_max': 5, 'net_dropout_max': 0.2, 'net_default_neuron_max': 32, 'net_checkpoint': 'True'}","{'MAE': None, 'R2': None, 'Accuracy': 0.4066666666666667}"
44,45,"{'train_type': 'c', 'input_file': 'data/iris.csv', 'project_folder': 'output/iris_project', 'target_col': 'Name', 'scaler': 'StandardScaler', 'test': 'True', 'auto_tune': 'False', 'save_test_chart': 'True', 'save_test_csv': 'False', 'save_metadata': 'True', 'mapping': ""{'Name': {'Iris-setosa':0, 'Iris-versicolor':1, 'Iris-virginica':2}}"", 'save_auto_tune': 'True', 'auto_tune_iter': '1000', 'train_cols': None, 'num_of_class': '3', 'ignore_cols': None, 'random_state': 'None', 'model_type': 'RF', 'num_of_features': 10, 'num_of_folds': 5, 'hyperparameter_file': None, 'feature_selection': None, 'feature_selection_file': None, 'save_corr_report': 'False', 'save_corr_chart': 'False', 'only_pcc': 'False', 'net_fast_tune': 'False', 'net_layer_n': 'Tune', 'net_structure': 'Tune', 'net_dropout': 'Tune', 'net_l_2': 'Tune', 'net_learning_rate': 'Tune', 'net_epochs': 'Tune', 'net_batch_size': 'Tune', 'net_neuron_max': -1, 'net_batch_size_max': 5, 'net_layer_min': 3, 'net_layer_max': 5, 'net_dropout_max': 0.2, 'net_default_neuron_max': 32, 'net_checkpoint': 'True'}","{'MAE': None, 'R2': None, 'Accuracy': 0.3933333333333333}"
45,46,"{'train_type': 'c', 'input_file': 'data/iris.csv', 'project_folder': 'output/iris_project', 'target_col': 'Name', 'scaler': 'StandardScaler', 'test': 'True', 'auto_tune': 'False', 'save_test_chart': 'True', 'save_test_csv': 'False', 'save_metadata': 'True', 'mapping': ""{'Name': {'Iris-setosa':0, 'Iris-versicolor':1, 'Iris-virginica':2}}"", 'save_auto_tune': 'True', 'auto_tune_iter': '1000', 'train_cols': None, 'num_of_class': '3', 'ignore_cols': None, 'random_state': 'None', 'model_type': 'RF', 'num_of_features': 10, 'num_of_folds': 5, 'hyperparameter_file': None, 'feature_selection': None, 'feature_selection_file': None, 'save_corr_report': 'False', 'save_corr_chart': 'False', 'only_pcc': 'False', 'net_fast_tune': 'False', 'net_layer_n': 'Tune', 'net_structure': 'Tune', 'net_dropout': 'Tune', 'net_l_2': 'Tune', 'net_learning_rate': 'Tune', 'net_epochs': 'Tune', 'net_batch_size': 'Tune', 'net_neuron_max': -1, 'net_batch_size_max': 5, 'net_layer_min': 3, 'net_layer_max': 5, 'net_dropout_max': 0.2, 'net_default_neuron_max': 32, 'net_checkpoint': 'True'}","{'MAE': None, 'R2': None, 'Accuracy': 0.31333333333333335}"
